papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
CAMB3;5.66;4.22;1.39;0.543;0.034;0.619;3.18;2.56;-7.38;3.62;3.26;0.212;0.1288;0.267;0.3299;1.7;184432.0;171668000.0;0.65;0.1321
CAML3;7.83;5.71;0.91;0.275;0.048499999999999995;0.32;1.16;5.65;-3.84;11.95;7.03;0.0487;0.0483;0.07200000000000001;0.1597;1.95;12161100.0;3008160000.0;1.28;0.2298
CASH3;0.96;-12.71;1.07;2.273;0.0;0.628;1.77;-4.82;2.37;-0.47;-0.5;-0.47130000000000005;-0.2257;-0.30920000000000003;-0.0842;2.13;25812500.0;776485000.0;0.0;0.7533
CBAV3;10.02;3.9;1.1;0.643;0.0383;0.473;2.08;3.78;-2.9;4.7;3.55;0.1699;0.1779;0.157;0.2822;2.42;33858900.0;5423400000.0;0.57;0.0
CBEE3;13.94;-36.24;0.64;0.433;0.0059;0.198;-2.49;3.64;-0.4;9.04;5.49;0.11900000000000001;-0.011899999999999999;0.0594;-0.0176;0.71;383.44;5234890000.0;0.99;0.1115
CCRO3;11.62;5.68;2.05;1.224;0.0327;0.464;12.66;2.38;-0.9;4.49;3.82;0.5139;0.21960000000000002;0.2375;0.3605;1.17;131566000.0;11464600000.0;2.53;0.1625
CEAB3;3.11;1153.6;0.32;0.155;0.0;0.1;0.89;5.87;-0.51;8.74;1.7;0.0264;0.0001;0.0268;0.0003;1.29;17376300.0;3000200000.0;0.72;0.034
CEBR3;11.22;4.14;0.84;2.046;0.3157;0.599;1.36;4.45;1.44;1.62;1.53;0.4596;0.6868000000000001;0.22210000000000002;0.203;6.9;53757.0;962556000.0;0.0;-0.43320000000000003
CEBR5;11.1;4.1;0.83;2.024;0.3191;0.593;1.34;4.4;1.42;1.57;1.48;0.4596;0.6868000000000001;0.22210000000000002;0.203;6.9;10206.0;962556000.0;0.0;-0.43320000000000003
CEBR6;11.15;4.11;0.83;2.033;0.3494;0.595;1.35;4.42;1.43;1.59;1.5;0.4596;0.6868000000000001;0.22210000000000002;0.203;6.9;93020.0;962556000.0;0.0;-0.43320000000000003
CEDO3;5.8;-2.77;0.49;0.048;0.0;0.062;-0.68;1.1;-0.19;5.44;3.98;0.0436;-0.023;0.0733;-0.17800000000000002;0.86;163.71;117761000.0;2.11;0.174
CEDO4;3.29;-1.57;0.28;0.027;0.0;0.035;-0.39;0.62;-0.11;4.96;3.63;0.0436;-0.023;0.0733;-0.17800000000000002;0.86;13359.9;117761000.0;2.11;0.174
CEEB3;38.45;6.43;1.7;0.721;0.16440000000000002;0.393;-28.79;2.97;-0.7;6.54;5.33;0.2427;0.1121;0.14400000000000002;0.2651;0.94;6337.51;5911000000.0;2.22;0.1232
